label,len,qr,count_queries,qry_type,qry_name_enthropy,qry_name_len,count_labels,resp_type,resp_ttl,resp_len,count_auth_rr,count_add_rr,count_answers,count_rtypes
1,160,1,1,16,3.838804369244613,28,6,16,60,3,1,0,1,2
1,267,0,1,16,5.749128960573141,221,10,0,0,0,0,0,0,0
1,355,1,1,16,5.749128960573141,221,10,16,60,5,1,0,1,2
1,76,0,1,5,3.764735178725505,30,7,0,0,0,0,0,0,0
1,162,1,1,5,3.764735178725505,30,7,5,60,3,1,0,1,2
1,74,0,1,5,4.080050351464736,28,6,0,0,0,0,0,0,0
1,162,1,1,5,4.080050351464736,28,6,5,60,5,1,0,1,2
1,76,0,1,5,3.9395722619867226,30,7,0,0,0,0,0,0,0
1,205,1,1,5,3.9395722619867226,30,7,5,60,46,1,0,1,2
1,76,0,1,5,3.9898980954642878,30,7,0,0,0,0,0,0,0
1,162,1,1,5,3.9898980954642878,30,7,5,60,3,1,0,1,2
1,74,0,1,16,4.008621780036165,28,6,0,0,0,0,0,0,0
1,160,1,1,16,4.008621780036165,28,6,16,60,3,1,0,1,2
1,219,0,1,16,5.711277528936465,173,10,0,0,0,0,0,0,0
1,307,1,1,16,5.711277528936465,173,10,16,60,5,1,0,1,2
1,76,0,1,16,3.9898980954642878,30,7,0,0,0,0,0,0,0
1,162,1,1,16,3.9898980954642878,30,7,16,60,3,1,0,1,2
1,74,0,1,16,4.080050351464737,28,6,0,0,0,0,0,0,0
1,162,1,1,16,4.080050351464737,28,6,16,60,5,1,0,1,2
1,76,0,1,16,4.031401845392171,30,7,0,0,0,0,0,0,0
1,225,1,1,16,4.031401845392171,30,7,16,60,66,1,0,1,2
1,76,0,1,16,3.923231428797621,30,7,0,0,0,0,0,0,0
1,162,1,1,16,3.923231428797621,30,7,16,60,3,1,0,1,2
1,74,0,1,5,4.008621780036166,28,6,0,0,0,0,0,0,0
1,160,1,1,5,4.008621780036166,28,6,5,60,3,1,0,1,2
1,219,0,1,5,5.634138927965679,173,10,0,0,0,0,0,0,0
